adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,591955,tt1830850,en,The Matrix Reloaded Revisited,The making of The Matrix Reloaded:  Go to the middle movies furthest reaches via five documentary paths revealing 21 featurettes,3.579,/gb7C4oRzYWXWCuZMR1cwtHa53Pz.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-12-07,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Reloaded Revisited,False,7.8,4
False,/gN1MGTNHGIPTxAgyTiJkNrfvU8U.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,386137,,cs,Matrix AB,,0.6,/iBxdPaM2ViRK36WdprG6muKHeT3.jpg,"[{'id': 487, 'logo_path': '/x3BUIowxU2skXOpnOeOkl7kIYDo.png', 'name': 'Česká televize', 'origin_country': 'CZ'}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",2015-10-29,0,,"[{'iso_639_1': 'cs', 'name': 'Český'}]",Released,,Matrix AB,False,0.0,0
False,/ByDf0zjLSumz1MP1cDEo2JWVtU.jpg,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",63000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.warnerbros.com/matrix,603,tt0133093,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",37.375,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"[{'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 372, 'logo_path': None, 'name': 'Groucho II Film Partnership', 'origin_country': ''}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-03-30,463517383,136.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Welcome to the Real World.,The Matrix,False,8.1,17386
False,,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,624860,tt10838180,en,The Matrix 4,The fourth installment in The Matrix franchise. Plot unknown.,8.899,/uoQfAYR1NTax9akJ1ceeQTKNXeo.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 172, 'logo_path': None, 'name': 'NPV Entertainment', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-03-30,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",In Production,,The Matrix 4,False,0.0,0
False,/vay7LlUASz0W25ZEwDMWaOL299N.jpg,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,605,tt0242653,en,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,24.207,/cm14gG8xBghwIAy1GX0ryI2HA4U.jpg,"[{'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 172, 'logo_path': None, 'name': 'NPV Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]",2003-11-03,424988211,129.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Everything that has a beginning has an end.,The Matrix Revolutions,False,6.6,6292
False,/sDxCd4nt3eR4qOCW1GoD0RabQtq.jpg,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,604,tt0234215,en,The Matrix Reloaded,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",24.691,/aA5qHS0FbSXO8PxcxUIHbDrJyuh.jpg,"[{'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}, {'id': 172, 'logo_path': None, 'name': 'NPV Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-05-15,738599701,138.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Free your mind.,The Matrix Reloaded,False,6.9,6990
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,217056,tt2121323,en,Matrix of Evil,is a dynamic 2 hour video featuring some of the most informed minds in the world today who expose the latest revelations of the New World Order's agenda in shocking detail.,3.556,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-01-01,0,129.0,[],Released,,Matrix of Evil,False,6.8,3
False,,,5000,"[{'id': 99, 'name': 'Documentary'}]",http://www.uaff-films.com/,26214,tt1595473,en,The American Matrix - Age Of Deception,"A shocking new 2 hour film by B.A. Brooks. This 2010 release is a follow up to ""The Decline And Fall Of America"" which was released in 2008. ""The American Matrix - Age Of Deception"" details news items that all people should be aware of such as the economic collapse of The United States and the formation of the a New World Order. See what has really been going on in America today.",3.5,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-01-01,0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The American Matrix - Age Of Deception,False,5.0,9
False,,,0,[],,373223,,en,Matrix,Abstract art film made for gallery exhibition.,0.948,/wx2s9xYeC6uP2auuuVg99yl4RpU.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1973-09-06,0,18.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Matrix,False,1.0,1
False,,,0,[],,555879,,en,Matrix,"The film is composed of receding planes in a landscape: a back garden and the houses beyond. The wooden lattice fence, visible in the image, marks the border between enclosed and open, private and public space, and forms both a fulcrum for the work and a formal grid by which the shots are framed and organised.",0.876,/AfFD10ZqEx2vkxM2yvRZkybsGB7.jpg,[],[],1998-12-31,0,7.0,[],Released,,Matrix,False,0.0,0
